,GPA Midpoint,COOP,Number of Internships,The university aided me in obtaining the internship,"Personal connections (teachers, relatives, colleagues, friends, etc)",Applications to job postings,number of interviews,Practice_Midpoint,LinkedIn_Midpoint,acquisition_rate
0,3.75,0,0,0,0,0,0.0,1.5,100,0.0
1,2.7,0,0,0,0,0,0.0,1.5,100,0.0
2,3.25,1,0,0,0,1,0.0,9.0,100,0.0
3,3.75,0,0,0,1,0,5.0,18.0,750,0.0
4,4.1,1,1,0,1,1,0.0,18.0,350,1.0
5,2.7,0,0,0,1,0,0.0,5.5,100,0.0
6,3.75,0,1,0,1,0,0.0,5.5,550,1.0
7,3.75,1,1,0,1,1,0.0,5.5,100,1.0
8,3.75,1,2,1,1,1,0.0,9.0,450,2.0
9,3.25,0,0,0,0,0,0.0,1.5,0,0.0
10,3.25,0,0,0,1,0,1.0,1.5,100,0.0
11,3.25,0,0,0,0,0,0.0,5.5,550,0.0
12,3.75,0,1,0,0,0,0.0,13.0,250,1.0
13,3.75,0,1,0,1,0,2.0,13.0,350,0.5
14,3.25,0,0,0,1,0,1.0,5.5,100,0.0
15,3.75,0,2,0,0,0,0.0,9.0,0,2.0
16,3.75,0,0,0,0,0,0.0,13.0,0,0.0
17,3.25,0,0,0,1,0,0.0,1.5,0,0.0
18,3.75,0,0,0,0,0,1.0,1.5,0,0.0
19,2.7,0,0,0,1,0,0.0,9.0,100,0.0
20,4.1,1,4,1,1,1,6.0,1.5,0,0.6666666666666666
21,2.7,0,2,0,0,0,6.0,1.5,450,0.3333333333333333
22,3.25,0,0,0,1,0,1.0,23.0,750,0.0
23,3.25,0,0,0,0,0,2.0,1.5,100,0.0
24,3.75,1,2,1,0,0,0.0,23.0,250,2.0
25,3.75,0,0,0,0,0,0.0,18.0,750,0.0
26,2.7,0,0,0,1,0,0.0,9.0,100,0.0
27,3.25,0,0,0,1,0,0.0,5.5,0,0.0
28,3.25,0,0,0,0,0,0.0,1.5,650,0.0
29,3.75,0,1,0,1,0,1.0,5.5,250,1.0
30,4.1,0,1,0,0,0,0.0,23.0,100,1.0
31,3.25,1,3,1,1,1,0.0,9.0,0,3.0
32,3.75,0,3,0,0,0,0.0,5.5,650,3.0
33,3.75,0,0,0,0,0,0.0,9.0,100,0.0
34,2.7,0,0,0,0,0,0.0,13.0,100,0.0
35,3.75,0,0,0,0,0,0.0,1.5,100,0.0
36,3.25,1,2,1,0,0,0.0,1.5,550,2.0
37,3.25,1,0,1,1,1,3.0,5.5,250,0.0
38,3.25,1,1,1,0,1,0.0,1.5,350,1.0
39,2.7,0,1,0,1,0,2.0,9.0,100,0.5
40,3.25,0,0,0,0,0,4.0,9.0,100,0.0
41,3.25,0,0,0,0,0,4.0,13.0,100,0.0
42,2.7,0,0,0,0,0,0.0,1.5,100,0.0
43,3.25,0,0,0,0,0,2.0,13.0,100,0.0
44,3.25,1,2,0,0,1,4.0,1.5,100,0.5
45,3.75,0,2,0,1,0,6.0,13.0,250,0.3333333333333333
46,3.75,0,0,0,1,0,2.0,5.5,100,0.0
47,3.25,1,3,1,0,0,0.0,1.5,100,3.0
48,3.25,0,0,0,0,0,0.0,9.0,0,0.0
49,2.25,0,0,0,0,0,0.0,9.0,100,0.0
50,2.7,0,0,0,0,0,0.0,1.5,0,0.0
51,2.7,0,0,0,1,0,2.0,5.5,100,0.0
52,3.25,0,0,0,0,0,0.0,1.5,100,0.0
53,3.75,0,3,0,0,0,0.0,1.5,250,3.0
54,3.75,0,0,0,0,0,0.0,1.5,100,0.0
